USING PC-LR
eval_results: {'global_step': 500, 'accuracy': 0.1961, 'loss': 36.72197}
eval_results: {'global_step': 1000, 'accuracy': 0.2383, 'loss': 5.7158623}
eval_results: {'global_step': 1500, 'accuracy': 0.34599999, 'loss': 2.4045076}
eval_results: {'global_step': 2000, 'accuracy': 0.31420001, 'loss': 2.594965}
eval_results: {'global_step': 2500, 'accuracy': 0.2492, 'loss': 4.4634218}
eval_results: {'global_step': 3000, 'accuracy': 0.59939998, 'loss': 1.6274512}
eval_results: {'global_step': 3500, 'accuracy': 0.4698, 'loss': 2.101146}
eval_results: {'global_step': 4000, 'accuracy': 0.55190003, 'loss': 1.6962302}
eval_results: {'global_step': 4500, 'accuracy': 0.60780001, 'loss': 1.3978673}
eval_results: {'global_step': 5000, 'accuracy': 0.4813, 'loss': 2.3561187}
eval_results: {'global_step': 5500, 'accuracy': 0.55839998, 'loss': 2.0804253}
eval_results: {'global_step': 6000, 'accuracy': 0.5704, 'loss': 1.7116286}
eval_results: {'global_step': 6500, 'accuracy': 0.49540001, 'loss': 2.4615982}
eval_results: {'global_step': 7000, 'accuracy': 0.59490001, 'loss': 1.6672606}
eval_results: {'global_step': 7500, 'accuracy': 0.6124, 'loss': 1.5350487}
eval_results: {'global_step': 8000, 'accuracy': 0.66759998, 'loss': 1.531981}
eval_results: {'global_step': 8500, 'accuracy': 0.54659998, 'loss': 1.7136984}
eval_results: {'global_step': 9000, 'accuracy': 0.71130002, 'loss': 1.1505501}
eval_results: {'global_step': 9500, 'accuracy': 0.73519999, 'loss': 1.1770601}
eval_results: {'global_step': 10000, 'accuracy': 0.50980002, 'loss': 2.2897642}
eval_results: {'global_step': 10500, 'accuracy': 0.8258, 'loss': 0.78914773}
eval_results: {'global_step': 11000, 'accuracy': 0.73869997, 'loss': 1.0365895}
eval_results: {'global_step': 11500, 'accuracy': 0.67570001, 'loss': 1.1871789}
eval_results: {'global_step': 12000, 'accuracy': 0.59500003, 'loss': 1.4551773}
eval_results: {'global_step': 12500, 'accuracy': 0.60900003, 'loss': 1.5240865}
eval_results: {'global_step': 13000, 'accuracy': 0.61409998, 'loss': 1.4827918}
eval_results: {'global_step': 13500, 'accuracy': 0.40259999, 'loss': 2.954591}
