USING PC-LR
eval_results: {'loss': 9.9519844, 'accuracy': 0.1154, 'global_step': 500}
eval_results: {'loss': 3.8190103, 'accuracy': 0.1143, 'global_step': 1000}
eval_results: {'loss': 3.0962708, 'accuracy': 0.20389999, 'global_step': 1500}
eval_results: {'loss': 3.0776443, 'accuracy': 0.16429999, 'global_step': 2000}
eval_results: {'loss': 2.1803727, 'accuracy': 0.33680001, 'global_step': 2500}
eval_results: {'loss': 2.5901511, 'accuracy': 0.34099999, 'global_step': 3000}
eval_results: {'loss': 1.4960201, 'accuracy': 0.59759998, 'global_step': 3500}
eval_results: {'loss': 1.3702637, 'accuracy': 0.61549997, 'global_step': 4000}
eval_results: {'loss': 1.3264856, 'accuracy': 0.65009999, 'global_step': 4500}
eval_results: {'loss': 1.495332, 'accuracy': 0.61989999, 'global_step': 5000}
eval_results: {'loss': 1.8308011, 'accuracy': 0.55940002, 'global_step': 5500}
eval_results: {'loss': 1.7145566, 'accuracy': 0.58859998, 'global_step': 6000}
eval_results: {'loss': 1.4636397, 'accuracy': 0.65799999, 'global_step': 6500}
eval_results: {'loss': 1.3207523, 'accuracy': 0.69090003, 'global_step': 7000}
eval_results: {'loss': 1.6326238, 'accuracy': 0.64069998, 'global_step': 7500}
eval_results: {'loss': 1.5535496, 'accuracy': 0.60619998, 'global_step': 8000}
eval_results: {'loss': 2.1443284, 'accuracy': 0.51440001, 'global_step': 8500}
eval_results: {'loss': 1.3770124, 'accuracy': 0.6699, 'global_step': 9000}
eval_results: {'loss': 1.3958665, 'accuracy': 0.66850001, 'global_step': 9500}
eval_results: {'loss': 1.6060873, 'accuracy': 0.58459997, 'global_step': 10000}
eval_results: {'loss': 0.92309833, 'accuracy': 0.79530001, 'global_step': 10500}
eval_results: {'loss': 1.1659135, 'accuracy': 0.72079998, 'global_step': 11000}
eval_results: {'loss': 1.0746875, 'accuracy': 0.73390001, 'global_step': 11500}
eval_results: {'loss': 1.3131348, 'accuracy': 0.66250002, 'global_step': 12000}
eval_results: {'loss': 1.2580413, 'accuracy': 0.67570001, 'global_step': 12500}
eval_results: {'loss': 1.6252729, 'accuracy': 0.6045, 'global_step': 13000}
eval_results: {'loss': 1.616455, 'accuracy': 0.58450001, 'global_step': 13500}
eval_results: {'loss': 1.4823767, 'accuracy': 0.62910002, 'global_step': 14000}
eval_results: {'loss': 1.6471912, 'accuracy': 0.60610002, 'global_step': 14500}
eval_results: {'loss': 2.0817306, 'accuracy': 0.54210001, 'global_step': 15000}
eval_results: {'loss': 1.3766742, 'accuracy': 0.68059999, 'global_step': 15500}
eval_results: {'loss': 0.99826604, 'accuracy': 0.7511, 'global_step': 16000}
eval_results: {'loss': 0.71609879, 'accuracy': 0.83859998, 'global_step': 16500}
eval_results: {'loss': 0.97411507, 'accuracy': 0.77950001, 'global_step': 17000}
eval_results: {'loss': 0.84308124, 'accuracy': 0.81279999, 'global_step': 17500}
eval_results: {'loss': 1.0903269, 'accuracy': 0.77240002, 'global_step': 18000}
eval_results: {'loss': 0.79232591, 'accuracy': 0.8369, 'global_step': 18500}
eval_results: {'loss': 0.62928277, 'accuracy': 0.85860002, 'global_step': 19000}
eval_results: {'loss': 0.64612859, 'accuracy': 0.86809999, 'global_step': 19500}
eval_results: {'loss': 0.78914809, 'accuracy': 0.83530003, 'global_step': 20000}
eval_results: {'loss': 0.7428866, 'accuracy': 0.8531, 'global_step': 20500}
eval_results: {'loss': 0.64709389, 'accuracy': 0.86919999, 'global_step': 21000}
eval_results: {'loss': 0.70220184, 'accuracy': 0.85979998, 'global_step': 21500}
eval_results: {'loss': 0.58096576, 'accuracy': 0.87840003, 'global_step': 22000}
eval_results: {'loss': 0.65685552, 'accuracy': 0.86189997, 'global_step': 22500}
eval_results: {'loss': 0.71006835, 'accuracy': 0.85799998, 'global_step': 23000}
eval_results: {'loss': 0.64144188, 'accuracy': 0.85890001, 'global_step': 23500}
eval_results: {'loss': 0.76559967, 'accuracy': 0.83759999, 'global_step': 24000}
eval_results: {'loss': 0.7304998, 'accuracy': 0.85949999, 'global_step': 24500}
eval_results: {'loss': 0.77715576, 'accuracy': 0.83420002, 'global_step': 25000}
eval_results: {'loss': 0.46494094, 'accuracy': 0.91469997, 'global_step': 25500}
eval_results: {'loss': 0.46445182, 'accuracy': 0.91799998, 'global_step': 26000}
eval_results: {'loss': 0.46630681, 'accuracy': 0.92000002, 'global_step': 26500}
eval_results: {'loss': 0.47364599, 'accuracy': 0.9224, 'global_step': 27000}
eval_results: {'loss': 0.47620815, 'accuracy': 0.92119998, 'global_step': 27500}
eval_results: {'loss': 0.47334573, 'accuracy': 0.92379999, 'global_step': 28000}
eval_results: {'loss': 0.46885177, 'accuracy': 0.92290002, 'global_step': 28500}
eval_results: {'loss': 0.47128755, 'accuracy': 0.92150003, 'global_step': 29000}
eval_results: {'loss': 0.48118481, 'accuracy': 0.92479998, 'global_step': 29500}
eval_results: {'loss': 0.47674483, 'accuracy': 0.92699999, 'global_step': 30000}
eval_results: {'loss': 0.48195571, 'accuracy': 0.92379999, 'global_step': 30500}
eval_results: {'loss': 0.48073426, 'accuracy': 0.92540002, 'global_step': 31000}
eval_results: {'loss': 0.47796777, 'accuracy': 0.92549998, 'global_step': 31500}
eval_results: {'loss': 0.48173252, 'accuracy': 0.92400002, 'global_step': 32000}
eval_results: {'loss': 0.48932111, 'accuracy': 0.9242, 'global_step': 32500}
eval_results: {'loss': 0.49958095, 'accuracy': 0.9253, 'global_step': 33000}
eval_results: {'loss': 0.49501529, 'accuracy': 0.92510003, 'global_step': 33500}
eval_results: {'loss': 0.50214326, 'accuracy': 0.92379999, 'global_step': 34000}
eval_results: {'loss': 0.49365327, 'accuracy': 0.92659998, 'global_step': 34500}
eval_results: {'loss': 0.49301887, 'accuracy': 0.926, 'global_step': 35000}
eval_results: {'loss': 0.50004643, 'accuracy': 0.92589998, 'global_step': 35500}
eval_results: {'loss': 0.48695576, 'accuracy': 0.92559999, 'global_step': 36000}
