USING PC-LR
eval_results: {'global_step': 500, 'loss': 5.7493596, 'accuracy': 0.2325}
eval_results: {'global_step': 1000, 'loss': 3.0675333, 'accuracy': 0.2475}
eval_results: {'global_step': 1500, 'loss': 3.4320655, 'accuracy': 0.21170001}
eval_results: {'global_step': 2000, 'loss': 2.0947442, 'accuracy': 0.43650001}
eval_results: {'global_step': 2500, 'loss': 3.5333948, 'accuracy': 0.32570001}
eval_results: {'global_step': 3000, 'loss': 5.0250564, 'accuracy': 0.2465}
eval_results: {'global_step': 3500, 'loss': 5.2843003, 'accuracy': 0.24429999}
eval_results: {'global_step': 4000, 'loss': 4.418561, 'accuracy': 0.30070001}
eval_results: {'global_step': 4500, 'loss': 4.4978762, 'accuracy': 0.34209999}
eval_results: {'global_step': 5000, 'loss': 5.0183997, 'accuracy': 0.30059999}
eval_results: {'global_step': 5500, 'loss': 2.4629316, 'accuracy': 0.58319998}
eval_results: {'global_step': 6000, 'loss': 1.7153052, 'accuracy': 0.71600002}
eval_results: {'global_step': 6500, 'loss': 1.4050976, 'accuracy': 0.7737}
eval_results: {'global_step': 7000, 'loss': 1.2519727, 'accuracy': 0.8064}
eval_results: {'global_step': 7500, 'loss': 1.1882473, 'accuracy': 0.81950003}
eval_results: {'global_step': 8000, 'loss': 1.1796248, 'accuracy': 0.82319999}
eval_results: {'global_step': 8500, 'loss': 1.170785, 'accuracy': 0.82520002}
eval_results: {'global_step': 9000, 'loss': 1.1988089, 'accuracy': 0.8258}
eval_results: {'global_step': 9500, 'loss': 1.1819181, 'accuracy': 0.82740003}
eval_results: {'global_step': 10000, 'loss': 1.1950279, 'accuracy': 0.82450002}
eval_results: {'global_step': 10500, 'loss': 1.1973341, 'accuracy': 0.82520002}
eval_results: {'global_step': 11000, 'loss': 1.2021241, 'accuracy': 0.82489997}
eval_results: {'global_step': 11500, 'loss': 1.2063717, 'accuracy': 0.824}
eval_results: {'global_step': 12000, 'loss': 1.2099869, 'accuracy': 0.82359999}
eval_results: {'global_step': 12500, 'loss': 1.2132602, 'accuracy': 0.82429999}
eval_results: {'global_step': 13000, 'loss': 1.2151324, 'accuracy': 0.82429999}
eval_results: {'global_step': 13500, 'loss': 1.2174253, 'accuracy': 0.82389998}
eval_results: {'global_step': 14000, 'loss': 1.2162019, 'accuracy': 0.82419997}
eval_results: {'global_step': 14500, 'loss': 1.2163858, 'accuracy': 0.824}
eval_results: {'global_step': 15000, 'loss': 1.219233, 'accuracy': 0.82380003}
eval_results: {'global_step': 15500, 'loss': 1.2197051, 'accuracy': 0.82309997}
eval_results: {'global_step': 16000, 'loss': 1.2188365, 'accuracy': 0.82489997}
eval_results: {'global_step': 16500, 'loss': 1.2195457, 'accuracy': 0.82380003}
eval_results: {'global_step': 17000, 'loss': 1.2190441, 'accuracy': 0.82319999}
eval_results: {'global_step': 17500, 'loss': 1.2201381, 'accuracy': 0.82300001}
eval_results: {'global_step': 18000, 'loss': 1.2207963, 'accuracy': 0.82429999}
eval_results: {'global_step': 18500, 'loss': 1.2206492, 'accuracy': 0.82450002}
eval_results: {'global_step': 19000, 'loss': 1.2211399, 'accuracy': 0.82410002}
eval_results: {'global_step': 19500, 'loss': 1.220589, 'accuracy': 0.82459998}
eval_results: {'global_step': 20000, 'loss': 1.2203395, 'accuracy': 0.82340002}
eval_results: {'global_step': 20500, 'loss': 1.2193625, 'accuracy': 0.82349998}
eval_results: {'global_step': 21000, 'loss': 1.220291, 'accuracy': 0.82370001}
eval_results: {'global_step': 21500, 'loss': 1.2203978, 'accuracy': 0.82389998}
eval_results: {'global_step': 22000, 'loss': 1.2208874, 'accuracy': 0.82410002}
eval_results: {'global_step': 22500, 'loss': 1.2230974, 'accuracy': 0.82370001}
eval_results: {'global_step': 23000, 'loss': 1.2239113, 'accuracy': 0.82440001}
eval_results: {'global_step': 23500, 'loss': 1.2227615, 'accuracy': 0.82410002}
eval_results: {'global_step': 24000, 'loss': 1.2233615, 'accuracy': 0.82410002}
eval_results: {'global_step': 24500, 'loss': 1.2234429, 'accuracy': 0.8251}
eval_results: {'global_step': 25000, 'loss': 1.2233038, 'accuracy': 0.82429999}
eval_results: {'global_step': 25500, 'loss': 1.2238561, 'accuracy': 0.82440001}
eval_results: {'global_step': 26000, 'loss': 1.2245895, 'accuracy': 0.82450002}
eval_results: {'global_step': 26500, 'loss': 1.2246785, 'accuracy': 0.82349998}
eval_results: {'global_step': 27000, 'loss': 1.2238488, 'accuracy': 0.82370001}
eval_results: {'global_step': 27500, 'loss': 1.2234128, 'accuracy': 0.82370001}
eval_results: {'global_step': 28000, 'loss': 1.2236475, 'accuracy': 0.82389998}
eval_results: {'global_step': 28500, 'loss': 1.2231718, 'accuracy': 0.82389998}
eval_results: {'global_step': 29000, 'loss': 1.2235044, 'accuracy': 0.82340002}
eval_results: {'global_step': 29500, 'loss': 1.2232451, 'accuracy': 0.82480001}
eval_results: {'global_step': 30000, 'loss': 1.223351, 'accuracy': 0.82429999}
eval_results: {'global_step': 30500, 'loss': 1.2227336, 'accuracy': 0.82370001}
eval_results: {'global_step': 31000, 'loss': 1.2238413, 'accuracy': 0.82440001}
eval_results: {'global_step': 31500, 'loss': 1.225282, 'accuracy': 0.82440001}
eval_results: {'global_step': 32000, 'loss': 1.2258544, 'accuracy': 0.82480001}
eval_results: {'global_step': 32500, 'loss': 1.2256842, 'accuracy': 0.82499999}
eval_results: {'global_step': 33000, 'loss': 1.2242407, 'accuracy': 0.8247}
eval_results: {'global_step': 33500, 'loss': 1.2239404, 'accuracy': 0.82489997}
