USING CLR
eval_results: {'loss': 442.55585, 'global_step': 500, 'accuracy': 0.1096}
eval_results: {'loss': 120.3571, 'global_step': 1000, 'accuracy': 0.1001}
eval_results: {'loss': 10.572354, 'global_step': 1500, 'accuracy': 0.1162}
eval_results: {'loss': 8.7459078, 'global_step': 2000, 'accuracy': 0.2087}
eval_results: {'loss': 5.2639599, 'global_step': 2500, 'accuracy': 0.31470001}
eval_results: {'loss': 5.8077669, 'global_step': 3000, 'accuracy': 0.2199}
eval_results: {'loss': 7.2988744, 'global_step': 3500, 'accuracy': 0.18970001}
eval_results: {'loss': 8.0133553, 'global_step': 4000, 'accuracy': 0.27329999}
eval_results: {'loss': 10.080708, 'global_step': 4500, 'accuracy': 0.25839999}
eval_results: {'loss': 12.413648, 'global_step': 5000, 'accuracy': 0.2411}
eval_results: {'loss': 2.2386091, 'global_step': 5500, 'accuracy': 0.4463}
eval_results: {'loss': 2.0963976, 'global_step': 6000, 'accuracy': 0.43259999}
eval_results: {'loss': 2.7828796, 'global_step': 6500, 'accuracy': 0.22220001}
eval_results: {'loss': 2.377883, 'global_step': 7000, 'accuracy': 0.31209999}
eval_results: {'loss': 1.8432292, 'global_step': 7500, 'accuracy': 0.51200002}
eval_results: {'loss': 2.1692953, 'global_step': 8000, 'accuracy': 0.32089999}
eval_results: {'loss': 3.0369034, 'global_step': 8500, 'accuracy': 0.1172}
eval_results: {'loss': 3.5993032, 'global_step': 9000, 'accuracy': 0.1139}
eval_results: {'loss': 2.6000156, 'global_step': 9500, 'accuracy': 0.15880001}
eval_results: {'loss': 2.6311276, 'global_step': 10000, 'accuracy': 0.1521}
eval_results: {'accuracy': 0.1013, 'loss': 3.1123211, 'global_step': 10500}
eval_results: {'accuracy': 0.1005, 'loss': 3.1941531, 'global_step': 11000}
eval_results: {'accuracy': 0.1443, 'loss': 3.0813241, 'global_step': 11500}
eval_results: {'accuracy': 0.1276, 'loss': 3.3076694, 'global_step': 12000}
eval_results: {'accuracy': 0.15889999, 'loss': 2.9783094, 'global_step': 12500}
eval_results: {'accuracy': 0.3748, 'loss': 2.4957235, 'global_step': 13000}
eval_results: {'accuracy': 0.6164, 'loss': 1.5109857, 'global_step': 13500}
eval_results: {'accuracy': 0.72780001, 'loss': 0.99721467, 'global_step': 14000}
eval_results: {'accuracy': 0.72899997, 'loss': 1.0509111, 'global_step': 14500}
eval_results: {'accuracy': 0.69739997, 'loss': 1.1890064, 'global_step': 15000}
eval_results: {'accuracy': 0.82849997, 'loss': 0.73363042, 'global_step': 15500}
eval_results: {'accuracy': 0.82560003, 'loss': 0.72858638, 'global_step': 16000}
eval_results: {'accuracy': 0.80449998, 'loss': 0.86410338, 'global_step': 16500}
eval_results: {'accuracy': 0.8136, 'loss': 0.85383904, 'global_step': 17000}
eval_results: {'accuracy': 0.81449997, 'loss': 0.78251517, 'global_step': 17500}
eval_results: {'accuracy': 0.82969999, 'loss': 0.79140276, 'global_step': 18000}
eval_results: {'accuracy': 0.83399999, 'loss': 0.75211418, 'global_step': 18500}
eval_results: {'accuracy': 0.80629998, 'loss': 0.87260145, 'global_step': 19000}
eval_results: {'accuracy': 0.82120001, 'loss': 0.80442977, 'global_step': 19500}
eval_results: {'accuracy': 0.84109998, 'loss': 0.72115028, 'global_step': 20000}
eval_results: {'accuracy': 0.86320001, 'global_step': 20500, 'loss': 0.64873505}
eval_results: {'accuracy': 0.81349999, 'global_step': 21000, 'loss': 0.90448976}
eval_results: {'accuracy': 0.7985, 'global_step': 21500, 'loss': 0.91647303}
eval_results: {'accuracy': 0.84930003, 'global_step': 22000, 'loss': 0.69497472}
eval_results: {'accuracy': 0.82029998, 'global_step': 22500, 'loss': 0.82865006}
eval_results: {'accuracy': 0.85360003, 'global_step': 23000, 'loss': 0.70416129}
eval_results: {'accuracy': 0.81459999, 'global_step': 23500, 'loss': 0.91337568}
eval_results: {'accuracy': 0.75029999, 'global_step': 24000, 'loss': 1.2507116}
eval_results: {'accuracy': 0.79170001, 'global_step': 24500, 'loss': 1.018055}
eval_results: {'accuracy': 0.86260003, 'global_step': 25000, 'loss': 0.67025155}
eval_results: {'accuracy': 0.80519998, 'global_step': 25500, 'loss': 0.93614656}
eval_results: {'accuracy': 0.82059997, 'global_step': 26000, 'loss': 0.79985923}
eval_results: {'accuracy': 0.75129998, 'global_step': 26500, 'loss': 1.2398895}
eval_results: {'accuracy': 0.82249999, 'global_step': 27000, 'loss': 0.86409563}
eval_results: {'accuracy': 0.82389998, 'global_step': 27500, 'loss': 0.91622019}
eval_results: {'accuracy': 0.80190003, 'global_step': 28000, 'loss': 0.94890994}
eval_results: {'accuracy': 0.82819998, 'global_step': 28500, 'loss': 0.85545629}
eval_results: {'accuracy': 0.79549998, 'global_step': 29000, 'loss': 1.0482782}
eval_results: {'accuracy': 0.83810002, 'global_step': 29500, 'loss': 0.77748567}
eval_results: {'accuracy': 0.8484, 'global_step': 30000, 'loss': 0.77640945}
eval_results: {'accuracy': 0.85290003, 'loss': 0.72113228, 'global_step': 30500}
eval_results: {'accuracy': 0.80330002, 'loss': 0.97955811, 'global_step': 31000}
