USING CLR
eval_results: {'loss': 1.6168275, 'accuracy': 0.5248, 'global_step': 500}
eval_results: {'loss': 1.2011031, 'accuracy': 0.67330003, 'global_step': 1000}
eval_results: {'loss': 2.087271, 'accuracy': 0.46520001, 'global_step': 1500}
eval_results: {'loss': 1.1606082, 'accuracy': 0.727, 'global_step': 2000}
eval_results: {'loss': 1.6409357, 'accuracy': 0.61879998, 'global_step': 2500}
eval_results: {'loss': 2.5345345, 'accuracy': 0.57590002, 'global_step': 3000}
eval_results: {'loss': 2.3366752, 'accuracy': 0.51200002, 'global_step': 3500}
eval_results: {'loss': 1.6721309, 'accuracy': 0.5934, 'global_step': 4000}
eval_results: {'loss': 2.2277055, 'accuracy': 0.51560003, 'global_step': 4500}
eval_results: {'loss': 3.9258425, 'accuracy': 0.38069999, 'global_step': 5000}
eval_results: {'loss': 1.5335428, 'accuracy': 0.65509999, 'global_step': 5500}
eval_results: {'loss': 1.3876507, 'accuracy': 0.69069999, 'global_step': 6000}
eval_results: {'loss': 1.6491024, 'accuracy': 0.62040001, 'global_step': 6500}
eval_results: {'loss': 1.2372177, 'accuracy': 0.73019999, 'global_step': 7000}
eval_results: {'loss': 1.3240772, 'accuracy': 0.70969999, 'global_step': 7500}
eval_results: {'loss': 1.6705551, 'accuracy': 0.62809998, 'global_step': 8000}
eval_results: {'loss': 1.2830304, 'accuracy': 0.6803, 'global_step': 8500}
eval_results: {'loss': 1.2862335, 'accuracy': 0.6997, 'global_step': 9000}
eval_results: {'loss': 0.96519399, 'accuracy': 0.7694, 'global_step': 9500}
eval_results: {'loss': 0.58935952, 'accuracy': 0.8822, 'global_step': 10000}
eval_results: {'loss': 0.57326823, 'accuracy': 0.88779998, 'global_step': 10500}
eval_results: {'loss': 0.6144864, 'accuracy': 0.87470001, 'global_step': 11000}

output for figure 1b CLR portion - stepsize 5k
