USING CLR
eval_results: {'accuracy': 0.59810001, 'global_step': 500, 'loss': 1.4244879}
eval_results: {'accuracy': 0.5826, 'global_step': 1000, 'loss': 1.6301067}
eval_results: {'accuracy': 0.65380001, 'global_step': 1500, 'loss': 1.5356961}
eval_results: {'accuracy': 0.42300001, 'global_step': 2000, 'loss': 3.5334885}
eval_results: {'accuracy': 0.6455, 'global_step': 2500, 'loss': 1.8653305}
eval_results: {'accuracy': 0.57660002, 'global_step': 3000, 'loss': 2.3123972}
eval_results: {'accuracy': 0.5086, 'global_step': 3500, 'loss': 2.5841765}
eval_results: {'accuracy': 0.51209998, 'global_step': 4000, 'loss': 2.5618939}
eval_results: {'accuracy': 0.42469999, 'global_step': 4500, 'loss': 3.6139853}
eval_results: {'accuracy': 0.57069999, 'global_step': 5000, 'loss': 1.9014441}
eval_results: {'accuracy': 0.55599999, 'global_step': 5500, 'loss': 2.1095691}
eval_results: {'accuracy': 0.6329, 'global_step': 6000, 'loss': 1.8850489}
eval_results: {'accuracy': 0.67159998, 'global_step': 6500, 'loss': 1.538922}
eval_results: {'accuracy': 0.4346, 'global_step': 7000, 'loss': 3.9707105}
eval_results: {'accuracy': 0.6038, 'global_step': 7500, 'loss': 2.1673512}
eval_results: {'accuracy': 0.58960003, 'global_step': 8000, 'loss': 2.1641142}
eval_results: {'accuracy': 0.79000002, 'global_step': 8500, 'loss': 1.0749711}
eval_results: {'accuracy': 0.7062, 'global_step': 9000, 'loss': 1.4694858}
eval_results: {'accuracy': 0.81290001, 'global_step': 9500, 'loss': 1.0275414}
eval_results: {'accuracy': 0.83960003, 'global_step': 10000, 'loss': 1.0348015}

output for figure 6a CLR portion - 10k samples
